absence of,no
accommodate,hold
accommodation,housing
adequate,enough
adjacent to,near
affluent,rich
a great deal of,a lot of
ahead of schedule,early
along the lines of,like
anticipate,expect
approximately,about
ascertain,find out
as of that time,then
assistance,help
at an early date,soon
attempt,try
at that moment in time,then
at the present time,now
at this moment in time,now
behind schedule,late
beverage,drink
by means of,by
cause injuries to,injure
"commence, commencement",start
compel,force
concerning,about
constructed of,made of
currently,now
deceased,dead
demonstrate,show
despite the fact that,although
discontinue,stop
dispatched,sent
donate,give
due to the fact that,because
encounter,meet
eventuate,happen
exceedingly,very
facilitate,help
filled to capacity ,full
gained entrance to,got in
gathered together,met
give approval to,approve
give consideration to,consider
give rise to,cause
hospitalisedhospital,put in hospital
to implement,to do
in addition,also
in advance of,before
in attendance,there
in consequence oof,because of
inform,tell
in isolation,alone
initiate,start
in light of the fact,because
in many cases,often
in order to,to
inquire,ask
in regard to,about
in spite of,despite
in spite of the fact that,although
in the course of,while
in the direction of,towards
in the event of,in
in the vicinity of ,near
is suffering from,has
made good their escape,escaped
manufacture,make
materialise,happen
measure up to,fit
meet with,meet
necessitate,force
an objective,an aim
on the occasion of,when
on the part of,by
participate,take part
passed away,died
pay tribute to,thank
persons,people
personnel,staff
place under arrest,arrest
to possess,to have
prior to,before
proceed,go
purchase,buy
regarding,about
render assistance to,help
residence,home
shortfall in supply,shortage
submitted his resignation,resigned
subsequently,later
sufficient,enough
sustained injuries,was hurt
take action on the issue,act
terminate,end
take into consideration,consider
transmit,send
urban centres,cities
utilise,use
valued at,worth
voice disapproval of,object to
was of the opinion that,thought
whole of ,all
with reference to,about
with the exception of,except
